,level_0,Unnamed: 0,index,Unnamed: 0.1,Arabic Term,Positive Count,Negative Count,Buckwalter index,Sentiment Score
0,0,0,0,0.0,خفيييف,5,1.0,xfyyyf,0.988
1,1,1,1,1.0,حظظ,0,10.0,HZZ,-2.509
2,2,2,2,2.0,موقادره,1,7.0,mwqAdrh,-1.4969999999999999
3,3,3,3,3.0,زفرة,0,6.0,zfrp,-2.057
4,4,4,4,4.0,شاهي,98,104.0,$Ahy,-0.17
5,5,5,5,5.0,اديهالك,6,0.0,AdyhAlk,1.835
6,6,6,6,6.0,# افضل _ فلم _ شاهدته _ في 2014,6,0.0,#AfDl_flm_$Ahdth_fy2014,1.835
7,7,7,7,7.0,دق,362,525.0,dq,-0.48200000000000004
8,8,8,8,8.0,لقيتلك,5,0.0,lqytlk,1.681
9,9,9,9,9.0,امانتن,0,11.0,AmAntn,-2.596
10,10,10,10,10.0,مسيو,26,7.0,msyw,1.105
11,11,11,11,11.0,سطل,24,17.0,sTl,0.217
12,12,12,12,12.0,سولف,18,27.0,swlf,-0.499
13,13,13,13,13.0,مبسوطهه,0,5.0,mbswThh,-1.903
14,14,14,14,14.0,انتاجي,6,4.0,AntAjy,0.225
15,15,15,15,15.0,بتسلي,8,2.0,btsly,0.988
16,16,16,16,16.0,بدايت,6,7.0,bdAyt,-0.245
17,17,17,17,17.0,طفل,1012,1245.0,Tfl,-0.318
18,18,18,18,18.0,دويدار,13,2.0,dwydAr,1.429
19,19,19,19,19.0,فطووم,1,6.0,fTwwm,-1.364
20,20,20,20,20.0,mena,5,1.0,mena,0.988
21,21,21,21,21.0,شجي,18,3.0,$jy,1.4469999999999998
22,22,22,22,22.0,الهقوه,6,1.0,Alhqwh,1.1420000000000001
23,23,23,23,23.0,الساوند,43,15.0,AlsAwnd,0.9009999999999999
24,24,24,24,24.0,ارتعب,0,5.0,{rtEb,-1.903
25,25,25,25,25.0,ويبعتلك,5,1.0,wybEtlk,0.988
26,26,26,26,26.0,رمسيس,32,3.0,rmsys,1.999
27,27,27,27,27.0,xddd,16,22.0,xddd,-0.413
28,28,28,28,28.0,ولوهان,0,15.0,wlwhAn,-2.884
29,29,29,29,29.0,طس,8,6.0,Ts,0.14
30,30,30,30,30.0,طنشيها,5,0.0,Tn$yhA,1.681
31,31,31,31,31.0,اندماج,14,7.0,{ndmAj,0.518
32,32,32,32,32.0,نهايتو,1,6.0,nhAytw,-1.364
33,33,33,33,33.0,يحيوانه,1,6.0,yHywAnh,-1.364
34,34,34,34,34.0,مالوم,14,2.0,mAlwm,1.4980000000000002
35,35,35,35,35.0,سعيييد,9,34.0,sEyyyd,-1.364
36,36,36,36,36.0,# بساطة,19,3.0,#bsATp,1.4980000000000002
37,37,37,37,37.0,بتدفي,19,8.0,btdfy,0.687
38,38,38,38,38.0,يطفي,25,60.0,yTfy,-0.9640000000000001
39,39,39,39,39.0,شمر,41,31.0,$mr,0.161
40,40,40,40,40.0,اشد,136,238.0,A$d,-0.6679999999999999
41,41,41,41,41.0,سهلاوي,8,16.0,shlAwy,-0.747
42,42,42,42,42.0,عجين,21,9.0,Ejyn,0.677
43,43,43,43,43.0,) رواه,0,9.0,)rwAh,-2.414
44,44,44,44,44.0,# اردوغان,8,1.0,#ArdwgAn,1.393
45,45,45,45,45.0,ربل,8,7.0,rbl,0.006999999999999999
46,46,46,46,46.0,بازي,3,5.0,bAzy,-0.517
47,47,47,47,47.0,بتحكيلي,7,12.0,btHkyly,-0.597
48,48,48,48,48.0,ساكن,282,244.0,sAkn,0.033
49,49,49,49,49.0,89,3,5.0,89,-0.517
50,50,50,50,50.0,التيليفون,6,2.0,Altylyfwn,0.736
51,51,51,51,51.0,سترونق,0,17.0,strwnq,-3.0010000000000003
52,52,52,52,52.0,بض,212,57.0,bD,1.19
53,53,53,53,53.0,كلامو,5,7.0,klAmw,-0.39899999999999997
54,54,54,54,54.0,ابتسي,0,37.0,Abtsy,-3.7489999999999997
55,55,55,55,55.0,فعال,39,15.0,fEAl,0.805
56,56,56,56,56.0,تلخيص,22,17.0,tlxyS,0.134
57,57,57,57,57.0,# doaaelsebaii,154,125.0,#doaaelsebaii,0.096
58,58,58,58,58.0,قاحة,9,15.0,qAHp,-0.581
59,59,59,59,59.0,فشخة,27,6.0,f$xp,1.275
60,60,60,60,60.0,الزرقاويه,6,0.0,AlzrqAwyh,1.835
61,61,61,61,61.0,ابلز,4,12.0,Ablz,-1.067
62,62,62,62,62.0,تايتنك,5,4.0,tAytnk,0.071
63,63,63,63,63.0,تجلي,40,12.0,tjly,1.038
64,64,64,64,64.0,# جزيرة,19,5.0,#jzyrp,1.093
65,65,65,65,65.0,غياااب,1,5.0,gyAAAb,-1.21
66,66,66,66,66.0,واشربي,8,5.0,wA$rby,0.294
67,67,67,67,67.0,ساعدة,6,3.0,sAEdp,0.449
68,68,68,68,68.0,نسيان,78,253.0,nsyAn,-1.2790000000000001
69,69,69,69,69.0,اقوول,20,29.0,Aqwwl,-0.46799999999999997
70,70,70,70,70.0,# happysungminday,0,6.0,#happysungminday,-2.057
71,71,71,71,71.0,يدتي,7,13.0,ydty,-0.6709999999999999
72,72,72,72,72.0,وشفيها,2,6.0,w$fyhA,-0.958
73,73,73,73,73.0,جاتوه,17,22.0,jAtwh,-0.35600000000000004
74,74,74,74,74.0,كشة,11,10.0,k$p,-0.024
75,75,75,75,75.0,اناقة,54,25.0,AnAqp,0.638
76,76,76,76,76.0,هكذا,354,266.0,hk*A,0.174
77,77,77,77,77.0,اتعس,6,33.0,AtEs,-1.6909999999999998
78,78,78,78,78.0,الاولتراس,9,1.0,AlAwltrAs,1.4980000000000002
79,79,79,79,79.0,نزوة,5,2.0,nzwp,0.5820000000000001
80,80,80,80,80.0,واللله,19,40.0,wAlllh,-0.8290000000000001
81,81,81,81,81.0,هتموتو,5,1.0,htmwtw,0.988
82,82,82,82,82.0,حقهاا,5,0.0,HqhAA,1.681
83,83,83,83,83.0,ارتجي,19,31.0,{rtjy,-0.581
84,84,84,84,84.0,اممين,19,101.0,Ammyn,-1.74
85,85,85,85,85.0,هاري,87,231.0,hAry,-1.08
86,86,86,86,86.0,جمان,10,37.0,jmAn,-1.351
87,87,87,87,87.0,استعجل,106,56.0,{stEjl,0.519
88,88,88,88,88.0,عضل,18,20.0,EDl,-0.21100000000000002
89,89,89,89,89.0,محوج,10,0.0,mHwj,2.287
90,90,90,90,90.0,عليككك,6,7.0,Elykkk,-0.245
91,91,91,91,91.0,انتواا,2,6.0,AntwAA,-0.958
92,92,92,92,92.0,هالملل,0,9.0,hAlmll,-2.414
93,93,93,93,93.0,نبض,105,177.0,nbD,-0.629
94,94,94,94,94.0,كارلا,8,0.0,kArlA,2.086
95,95,95,95,95.0,مطاف,15,10.0,mTAf,0.264
96,96,96,96,96.0,chocolate,11,4.0,chocolate,0.764
97,97,97,97,97.0,اموتفيك,2,42.0,Amwtfyk,-2.7739999999999996
98,98,98,98,98.0,جفنة,1,7.0,jfnp,-1.4969999999999999
99,99,99,99,99.0,# kurtlarvadisipusu242,20,14.0,#kurtlarvadisipusu242,0.225
100,100,100,100,100.0,هخف,5,1.0,hxf,0.988
101,101,101,101,101.0,مابيعملش,7,1.0,mAbyEml$,1.275
102,102,102,102,102.0,نابلسي,10,10.0,nAblsy,-0.111
103,103,103,103,103.0,ميد,83,93.0,myd,-0.22399999999999998
104,104,104,104,104.0,رنينق,0,8.0,rnynq,-2.3080000000000003
105,105,105,105,105.0,# i _ hate _ must,8,18.0,#i_hate_must,-0.858
106,106,106,106,106.0,فمابالك,7,4.0,fmAbAlk,0.359
107,107,107,107,107.0,وججع,2,18.0,wjjE,-1.9569999999999999
108,108,108,108,108.0,احتسبي,6,7.0,AHtsby,-0.245
109,109,109,109,109.0,ميتن,5,3.0,mytn,0.294
110,110,110,110,110.0,شجاعة,69,24.0,$jAEp,0.919
111,111,111,111,111.0,مهندز,6,0.0,mhndz,1.835
112,112,112,112,112.0,بارك,1103,313.0,bArk,1.146
113,113,113,113,113.0,# اعجب,23,9.0,#AEjb,0.764
114,114,114,114,114.0,samy,7,0.0,samy,1.9680000000000002
115,115,115,115,115.0,انحش,6,1.0,AnH$,1.1420000000000001
116,116,116,116,116.0,ماعلاقة,5,0.0,mAElAqp,1.681
117,117,117,117,117.0,could,9,8.0,could,-0.006
118,118,118,118,118.0,اظل,8,6.0,AZl,0.14
119,119,119,119,119.0,تحطلي,4,7.0,tHTly,-0.581
120,120,120,120,120.0,لوسمحتوا,0,7.0,lwsmHtwA,-2.19
121,121,121,121,121.0,مسخررررة,6,0.0,msxrrrrp,1.835
122,122,122,122,122.0,# لجين _ الهذلول _ امام _ محكمة _ الارهاب,23,10.0,#ljyn_Alh*lwl_AmAm_mHkmp_AlArhAb,0.669
123,123,123,123,123.0,مستحمل,16,6.0,mstHml,0.7759999999999999
124,124,124,124,124.0,متنزلش,10,3.0,mtnzl$,0.9009999999999999
125,125,125,125,125.0,وملناش,5,2.0,wmlnA$,0.5820000000000001
126,126,126,126,126.0,جايبلنا,10,2.0,jAyblnA,1.188
127,127,127,127,127.0,رجم,40,30.0,rjm,0.16899999999999998
128,128,128,128,128.0,ناء,8,9.0,nA',-0.21600000000000005
129,129,129,129,129.0,خجلان,6,5.0,xjlAn,0.043
130,130,130,130,130.0,دونقوو,1,7.0,dwnqww,-1.4969999999999999
131,131,131,131,131.0,متغيب,5,1.0,mtgyb,0.988
132,132,132,132,132.0,اتان,47,83.0,AtAn,-0.6709999999999999
133,133,133,133,133.0,خربشات,5,2.0,xrb$At,0.5820000000000001
134,134,134,134,134.0,ريبوست,6,1.0,rybwst,1.1420000000000001
135,135,135,135,135.0,يشيلو,4,7.0,y$ylw,-0.581
136,136,136,136,136.0,ياعصام,5,0.0,yAESAm,1.681
137,137,137,137,137.0,ددي,1,14.0,ddy,-2.126
138,138,138,138,138.0,بااك,40,5.0,bAAk,1.811
139,139,139,139,139.0,# زين,2,12.0,#zyn,-1.577
140,140,140,140,140.0,هيعمل,127,33.0,hyEml,1.215
141,141,141,141,141.0,سواليفي,0,5.0,swAlyfy,-1.903
142,142,142,142,142.0,بكج,18,37.0,bkj,-0.804
143,143,143,143,143.0,بينفعني,1,6.0,bynfEny,-1.364
144,144,144,144,144.0,"المشكلة ,",7,5.0,"Alm$klp,",0.177
145,145,145,145,145.0,مايك,23,25.0,mAyk,-0.191
